Company,Major index membership,Market capitalization,Income (ttm),Revenue (ttm),Book value per share (mrq),Cash per share (mrq),Dividend (annual),Dividend yield (annual),Full time employees,Stock has options trading on a market exchange,Stock available to sell short,Analysts' mean recommendation (1=Buy 5=Sell),Price-to-Earnings (ttm),Forward Price-to-Earnings (next fiscal year),Price-to-Earnings-to-Growth,Price-to-Sales (ttm),Price-to-Book (mrq),Price to cash per share (mrq),Price to Free Cash Flow (ttm),Quick Ratio (mrq),Current Ratio (mrq),Total Debt to Equity (mrq),Long Term Debt to Equity (mrq),Distance from 20-Day Simple Moving Average,Diluted EPS (ttm),EPS estimate for next year,EPS estimate for next quarter,EPS growth this year,EPS growth next year,Long term annual growth estimate (5 years),Annual EPS growth past 5 years,Annual sales growth past 5 years,Quarterly revenue growth (YoY),Quarterly earnings growth (YoY),Earnings date<br><br>BMO = Before Market Open<br>AMC = After Market Close,Distance from 50-Day Simple Moving Average,Insider ownership,Insider transactions (6-Month change in Insider Ownership),Institutional ownership,Institutional transactions (3-Month change in Institutional Ownership),Return on Assets (ttm),Return on Equity (ttm),Return on Investment (ttm),Gross Margin (ttm),Operating Margin (ttm),Net Profit Margin (ttm),Dividend Payout Ratio (ttm),Distance from 200-Day Simple Moving Average,Shares outstanding,Shares float,Short interest share / ratio,Short interest,Analysts' mean target price,52-Week trading range,Distance from 52-Week High,Distance from 52-Week Low,Relative Strength Index,Relative volume,Average volume (3 month),Volume,Performance (Week),Performance (Month),Performance (Quarter),Performance (Half Year),Performance (Year),Performance (Year To Date),Beta,Average True Range (14),"Volatility (Week, Month)",Previous close,Current stock price,Performance (today)
EPAM,S&P 500,17.59B,419.40M,4.82B,52.13,30.37,-,-,59300,Yes,Yes,1.80,43.32,21.88,2.67,3.64,5.88,10.10,45.98,3.70,3.70,0.01,0.01,-7.74%,7.08,14.02,2.34,-13.10%,24.33%,16.20%,21.50%,27.20%,11.20%,8.80%,Feb 16 BMO,-9.52%,2.20%,-0.08%,96.60%,2.97%,11.30%,15.30%,16.00%,31.90%,11.90%,8.70%,0.00%,-13.14%,57.58M,55.71M,1.27% / 1.82,0.71M,407.28,184.51 - 462.99,-34.45%,64.47%,36.16,0.40,387.42K,"79,477",-0.26%,-18.51%,-10.78%,-27.28%,62.50%,-7.41%,1.58,11.07,2.11% 3.49%,306.64,303.47,-1.03%
EQIX,S&P 500,62.80B,704.30M,7.26B,124.29,-,13.64,1.97%,12097,Yes,Yes,2.00,90.43,67.01,4.45,8.65,5.58,-,-,1.80,1.80,1.31,1.29,-2.31%,7.67,10.36,2.16,38.60%,20.51%,20.30%,68.00%,10.70%,9.60%,2.50%,Feb 15 AMC,-1.96%,0.10%,-34.19%,96.50%,0.73%,2.40%,6.40%,4.10%,48.30%,16.50%,9.70%,158.10%,5.29%,92.57M,92.25M,1.63% / 3.86,1.51M,782.33,494.89 - 776.35,-10.98%,39.65%,44.94,0.48,390.29K,"95,796",0.46%,-4.74%,0.62%,6.79%,1.42%,5.51%,0.62,16.88,2.70% 2.28%,694.02,691.11,-0.42%
EQR,S&P 500,23.01B,773.80M,2.74B,29.48,0.15,2.50,4.04%,2400,Yes,Yes,2.70,29.95,33.88,-,8.41,2.10,426.87,44.34,-,-,0.67,0.66,-2.89%,2.07,1.83,0.34,-42.00%,11.80%,-,4.80%,2.00%,8.50%,-70.50%,Feb 09 AMC,-0.43%,1.72%,-1.28%,93.10%,-0.47%,3.80%,7.10%,6.00%,64.10%,40.80%,28.30%,120.40%,-8.40%,377.71M,371.23M,2.19% / 3.19,8.14M,69.30,57.38 - 94.32,-34.19%,8.17%,45.10,0.27,2.55M,"353,096",1.11%,-4.12%,0.60%,-18.60%,-27.89%,5.20%,0.84,1.44,2.28% 2.26%,61.94,62.07,0.21%
ES,S&P 500,25.66B,1.40B,12.22B,44.36,1.09,2.70,3.60%,9626,Yes,Yes,2.50,18.51,16.01,2.69,2.10,1.69,68.51,-,0.60,0.60,1.49,1.30,-2.01%,4.05,4.68,1.35,14.20%,7.09%,6.88%,5.40%,9.50%,15.50%,3.10%,Feb 13 AMC,-6.00%,0.10%,-1.56%,82.00%,0.33%,2.80%,9.30%,4.50%,-,18.00%,11.50%,62.90%,-9.11%,348.79M,347.02M,1.02% / 2.23,3.55M,88.71,70.54 - 94.63,-19.88%,7.49%,43.02,0.51,1.59M,"414,623",2.25%,-6.02%,-10.12%,-17.43%,-10.89%,-9.57%,0.48,1.69,2.24% 2.10%,74.92,75.82,1.20%
ESS,S&P 500,14.63B,408.30M,1.61B,88.32,0.53,9.24,3.98%,1772,Yes,Yes,2.80,36.99,37.98,4.68,9.11,2.63,439.35,37.73,-,-,1.04,1.04,-0.44%,6.28,6.12,1.28,-16.40%,9.68%,7.90%,-0.90%,3.30%,11.70%,36.20%,Feb 07 AMC,3.33%,1.20%,0.13%,97.50%,0.33%,3.20%,7.00%,-,70.90%,37.00%,25.40%,138.30%,-5.18%,64.72M,63.98M,1.67% / 1.97,1.07M,242.84,205.24 - 363.36,-36.30%,12.78%,52.66,0.46,541.89K,"127,470",2.18%,0.50%,9.66%,-15.65%,-31.28%,9.23%,0.78,5.49,2.44% 2.19%,232.41,231.47,-0.40%
ETN,S&P 500,69.58B,2.46B,20.75B,42.80,1.41,3.44,1.94%,92000,Yes,Yes,2.20,28.86,19.44,3.25,3.35,4.14,125.36,109.40,0.80,1.40,0.51,0.49,2.03%,6.14,9.12,1.77,15.10%,10.02%,8.88%,-1.20%,0.30%,12.20%,31.40%,Feb 08 BMO,7.02%,0.20%,-9.44%,85.10%,0.19%,7.00%,14.90%,10.20%,33.20%,14.70%,11.90%,52.50%,18.62%,398.10M,396.20M,1.05% / 2.45,4.15M,180.41,122.50 - 178.75,-0.93%,44.56%,63.86,0.68,1.69M,"596,215",1.10%,7.65%,12.21%,25.35%,21.12%,12.83%,1.13,3.06,1.58% 1.98%,177.21,177.08,-0.07%
ETR,S&P 500,21.65B,1.10B,13.76B,62.33,1.07,4.28,4.12%,11707,Yes,Yes,2.20,19.27,14.41,2.92,1.57,1.66,96.58,12.43,0.40,0.60,2.06,1.82,-0.48%,5.38,7.20,1.56,-3.10%,7.37%,6.60%,-0.10%,4.40%,20.20%,-60.10%,Feb 16 BMO,-2.21%,0.10%,-6.41%,92.70%,0.50%,1.90%,9.10%,5.30%,87.50%,14.90%,8.00%,75.70%,-5.49%,208.02M,202.71M,1.00% / 1.35,2.02M,121.13,94.94 - 126.82,-17.07%,10.77%,47.40,0.60,1.50M,"465,528",1.39%,-2.41%,-10.18%,-11.75%,-3.86%,-6.52%,0.64,2.21,2.16% 2.09%,103.76,105.17,1.35%
ETSY,S&P 500,13.76B,-694.30M,2.57B,-4.34,9.63,-,-,2790,Yes,Yes,2.30,-,34.06,-,5.36,-,11.75,20.33,2.40,2.40,-,-,-14.99%,-5.64,3.32,0.51,-262.00%,27.76%,10.60%,59.30%,42.20%,12.60%,-18.00%,Feb 22 AMC,-16.62%,0.60%,-36.42%,-,-3.54%,-22.30%,-,-37.30%,71.00%,-25.70%,-27.10%,-,-0.77%,126.16M,122.95M,10.87% / 4.47,13.37M,139.31,67.01 - 151.50,-28.69%,61.21%,31.02,2.45,2.99M,"3,773,480",-8.80%,-25.51%,-19.98%,0.62%,-21.96%,-9.81%,2.02,6.40,4.10% 4.90%,113.18,108.03,-4.55%
EVRG,S&P 500,13.34B,752.70M,5.86B,41.25,0.11,2.45,4.17%,4512,Yes,Yes,2.80,18.00,14.90,7.41,2.28,1.43,529.18,-,0.30,0.50,1.27,1.05,-0.43%,3.27,3.95,0.54,-14.70%,8.55%,2.43%,7.50%,17.90%,14.00%,-85.90%,Feb 24 BMO,-2.70%,0.22%,0.00%,86.30%,0.13%,2.60%,8.00%,5.70%,-,21.60%,12.80%,69.90%,-5.68%,229.90M,229.03M,0.84% / 1.36,1.92M,63.71,54.12 - 73.12,-18.06%,10.72%,47.86,1.05,1.41M,"759,390",1.89%,-3.32%,2.48%,-14.55%,-5.98%,-4.78%,0.49,1.31,2.16% 2.08%,58.80,59.92,1.90%
EW,S&P 500,46.03B,1.52B,5.38B,9.47,2.04,-,-,17300,Yes,Yes,2.40,31.68,27.10,3.00,8.55,8.16,37.88,47.28,2.20,3.00,0.10,0.10,-0.41%,2.44,2.85,0.61,2.40%,13.36%,10.54%,12.50%,9.40%,1.40%,21.80%,Jan 31 AMC,-0.08%,0.10%,-26.76%,84.90%,-0.08%,18.00%,25.60%,23.50%,80.00%,32.50%,28.30%,0.00%,-9.55%,613.00M,602.89M,1.98% / 3.28,11.96M,88.52,67.13 - 131.10,-40.75%,15.72%,48.27,0.56,3.65M,"1,051,354",-3.18%,-2.95%,7.49%,-15.55%,-23.84%,4.11%,1.02,2.09,2.20% 2.38%,77.27,77.68,0.53%
EXC,"NDX, S&P 500",40.02B,2.05B,19.08B,24.87,0.42,1.44,3.49%,19063,Yes,Yes,2.20,19.83,16.47,1.78,2.10,1.66,98.32,-,0.60,0.70,1.62,1.44,0.63%,2.08,2.50,0.66,36.50%,5.96%,11.15%,-12.20%,-10.70%,5.50%,36.70%,Feb 14 BMO,-1.10%,0.25%,0.00%,83.90%,0.37%,2.30%,9.00%,4.60%,66.90%,17.40%,11.40%,61.30%,-2.00%,995.00M,991.34M,0.96% / 1.43,9.52M,46.25,35.19 - 50.71,-17.97%,18.22%,51.30,0.49,6.66M,"1,690,756",3.01%,1.90%,-2.97%,-7.79%,-4.36%,-3.78%,0.54,0.86,2.18% 2.02%,41.25,41.60,0.84%
EXPD,S&P 500,17.19B,1.36B,17.07B,19.78,13.12,1.34,1.21%,19900,Yes,Yes,3.30,13.46,21.54,-,1.01,5.61,8.45,8.87,2.20,2.20,0.00,0.00,2.23%,8.23,5.15,1.37,-0.10%,-5.63%,-,27.20%,19.80%,-36.20%,-48.00%,Feb 21 BMO,2.74%,0.20%,-8.74%,98.60%,0.02%,19.70%,38.90%,43.40%,26.30%,10.70%,8.00%,16.10%,8.26%,157.21M,153.32M,5.59% / 5.88,8.57M,99.27,86.08 - 119.90,-6.61%,30.09%,56.83,0.62,1.46M,"461,966",1.85%,-1.75%,1.62%,9.82%,11.83%,7.76%,0.99,2.61,2.48% 2.21%,110.87,111.98,1.00%
EXPE,S&P 500,16.16B,352.00M,11.67B,14.69,27.49,-,-,16500,Yes,Yes,2.40,50.30,9.25,1.62,1.39,7.30,3.90,5.82,0.80,0.80,2.73,2.73,-5.48%,2.13,11.60,0.12,221.10%,23.85%,31.06%,-1.30%,3.00%,14.90%,-38.30%,Feb 09 AMC,-2.65%,0.20%,-2.15%,95.60%,-3.03%,1.50%,16.50%,11.10%,85.80%,9.80%,3.00%,0.00%,0.75%,155.39M,146.28M,2.08% / 1.17,3.04M,134.38,82.39 - 203.98,-49.19%,25.80%,40.81,0.62,2.59M,"822,976",-2.02%,-13.77%,6.95%,-0.51%,-37.45%,18.32%,1.63,3.62,2.59% 3.21%,107.23,103.64,-3.34%
EXR,S&P 500,21.82B,859.50M,1.92B,24.34,0.70,6.48,3.96%,4781,Yes,Yes,2.60,25.55,25.38,4.26,11.34,6.73,234.84,53.21,-,-,2.25,2.25,1.20%,6.41,6.45,1.44,3.50%,4.89%,6.00%,11.60%,11.70%,18.60%,-23.90%,Feb 22 AMC,5.14%,0.10%,-5.52%,99.20%,0.76%,7.50%,26.60%,9.60%,75.60%,54.60%,44.70%,93.60%,-3.36%,133.92M,131.88M,3.41% / 4.35,4.49M,170.92,139.97 - 222.35,-26.04%,17.49%,55.07,0.39,1.03M,"205,426",-1.48%,-1.91%,5.39%,-19.83%,-16.35%,11.73%,0.57,3.99,2.18% 2.35%,163.74,164.45,0.43%
F,S&P 500,49.64B,-1981.00M,158.06B,10.80,11.52,0.60,4.62%,173000,Yes,Yes,2.80,-,7.94,-,0.31,1.20,1.13,-,1.10,1.20,3.21,2.05,0.77%,-0.49,1.63,0.40,-111.10%,7.29%,-11.66%,-17.90%,0.20%,16.80%,-89.40%,Feb 02 AMC,3.76%,0.14%,-3.19%,52.90%,0.49%,-0.80%,-4.50%,3.90%,10.90%,3.90%,-1.30%,-,1.11%,4.00B,3.88B,3.29% / 1.97,127.50M,13.42,10.10 - 16.94,-24.95%,25.91%,52.63,0.78,64.67M,"26,129,428",1.31%,-0.68%,0.59%,-13.42%,-16.66%,14.86%,1.55,0.41,2.41% 3.01%,12.98,12.72,-2.04%
FANG,"NDX, S&P 500",25.70B,4.34B,9.64B,84.49,0.87,3.20,2.25%,972,Yes,Yes,2.00,5.76,6.29,-,2.66,1.69,163.67,5.50,0.80,0.80,0.42,0.42,0.44%,24.74,22.67,4.94,100.00%,3.05%,-1.59%,34.30%,51.60%,0.40%,1.10%,Feb 21 AMC,1.20%,0.20%,-0.55%,98.10%,-0.33%,17.90%,31.60%,24.60%,84.20%,66.50%,45.00%,26.70%,5.65%,177.64M,175.17M,2.71% / 1.85,4.75M,178.50,99.50 - 164.93,-13.88%,42.76%,50.96,0.53,2.57M,"698,929",-1.47%,0.43%,4.32%,10.58%,12.15%,5.41%,2.04,4.77,3.14% 3.33%,142.49,142.04,-0.32%
FAST,"NDX, S&P 500",29.79B,1.09B,6.98B,5.54,0.41,1.40,2.64%,19854,Yes,Yes,3.10,28.05,25.12,4.43,4.27,9.56,129.48,532.97,1.80,4.00,0.18,0.11,0.84%,1.89,2.11,0.49,17.80%,7.22%,6.33%,14.50%,9.70%,10.70%,7.10%,Jan 19 BMO,4.63%,0.10%,-0.28%,79.30%,-0.63%,23.80%,34.40%,29.60%,46.10%,20.80%,15.60%,65.50%,5.24%,571.01M,569.74M,2.44% / 4.14,13.91M,50.59,43.73 - 60.74,-12.99%,20.84%,55.73,0.35,3.36M,"607,737",-0.10%,-1.19%,5.39%,3.41%,-2.43%,11.68%,1.18,1.08,1.99% 1.99%,52.95,52.85,-0.20%
FCX,S&P 500,56.79B,3.46B,22.78B,10.86,5.81,0.60,1.48%,25600,Yes,Yes,2.40,17.03,17.27,-,2.49,3.73,6.97,13.39,1.60,2.50,0.68,0.62,-6.16%,2.38,2.35,0.37,-17.80%,27.61%,-11.10%,20.60%,6.80%,-6.60%,-35.00%,Jan 25 BMO,-7.25%,0.60%,-1.03%,79.30%,-0.49%,6.90%,22.90%,18.30%,33.80%,31.00%,15.20%,25.00%,12.30%,1.43B,1.42B,1.32% / 1.60,18.81M,45.53,24.69 - 51.54,-23.61%,59.45%,39.21,0.87,11.76M,"5,264,916",-8.05%,-9.88%,2.55%,39.33%,-14.90%,3.79%,2.01,1.54,3.05% 2.91%,40.54,39.38,-2.87%
FDS,S&P 500,15.37B,426.10M,1.92B,38.67,12.47,3.56,0.87%,11627,Yes,Yes,2.90,37.25,24.86,3.13,7.99,10.55,32.72,40.16,2.20,2.20,1.26,1.26,-2.95%,10.96,16.42,3.62,-1.10%,10.18%,11.90%,9.50%,8.60%,18.90%,26.20%,Mar 23 BMO,-1.95%,0.10%,-34.29%,92.50%,0.95%,11.80%,32.20%,12.90%,53.70%,27.30%,22.10%,31.20%,-1.45%,38.12M,38.05M,0.91% / 1.58,0.35M,442.27,345.92 - 474.13,-13.45%,18.63%,41.39,0.38,218.91K,"43,416",-1.03%,-5.45%,-9.64%,-7.74%,0.78%,2.28%,0.84,7.67,1.73% 1.69%,408.04,410.35,0.57%
FDX,S&P 500,52.34B,3.33B,94.09B,94.57,18.60,4.60,2.20%,191000,Yes,Yes,2.20,16.45,12.51,4.03,0.56,2.22,11.27,46.65,1.30,1.30,0.84,0.83,1.89%,12.74,16.75,4.21,-22.10%,23.80%,4.08%,5.30%,9.20%,-2.80%,-21.90%,Mar 16 AMC,7.68%,0.20%,0.36%,74.80%,1.75%,3.90%,13.50%,11.40%,68.10%,6.00%,3.50%,29.60%,8.22%,255.00M,240.31M,2.09% / 2.46,5.02M,202.69,141.92 - 248.76,-14.86%,49.24%,61.64,0.80,2.04M,"846,128",2.36%,0.90%,22.40%,5.05%,3.83%,22.29%,1.33,4.48,1.82% 1.93%,209.54,211.80,1.08%
FE,S&P 500,22.34B,406.00M,12.46B,17.80,0.28,1.56,3.93%,12335,Yes,Yes,2.40,56.01,14.84,101.65,1.79,2.23,139.60,-,0.50,0.60,2.13,2.09,0.16%,0.71,2.67,0.63,-68.70%,6.49%,0.55%,-19.00%,2.70%,19.40%,-190.10%,Feb 13 AMC,-2.57%,0.08%,0.00%,89.00%,-0.34%,0.90%,4.00%,2.50%,69.00%,14.50%,3.30%,219.40%,0.42%,572.25M,571.74M,1.01% / 1.57,5.77M,44.21,35.32 - 48.85,-18.28%,13.02%,48.66,0.50,3.69M,"953,174",2.15%,-0.38%,-3.97%,-2.99%,-9.91%,-4.82%,0.43,0.78,2.05% 1.93%,39.71,39.92,0.53%
FFIV,S&P 500,8.63B,301.00M,2.71B,42.97,11.08,-,-,7089,Yes,Yes,2.70,29.17,10.94,3.10,3.19,3.37,13.08,18.22,1.10,1.10,0.00,0.00,0.16%,4.97,13.25,2.42,-1.20%,15.29%,9.40%,-4.10%,5.20%,1.90%,-20.70%,Jan 24 AMC,-0.22%,0.50%,-11.40%,97.83%,2.92%,5.90%,12.30%,12.10%,79.30%,14.10%,11.10%,0.00%,-4.46%,60.10M,60.06M,3.03% / 3.55,1.82M,165.77,133.68 - 217.41,-33.35%,8.40%,49.46,0.34,512.54K,"90,277",0.47%,-2.42%,-2.91%,-7.72%,-25.53%,0.98%,1.09,3.24,1.77% 2.01%,144.90,144.91,0.01%
FIS,S&P 500,37.22B,-16720.00M,14.53B,45.98,-,2.08,3.31%,69000,Yes,Yes,2.30,-,9.72,-,2.56,1.37,-,14.69,0.80,0.80,0.74,0.52,-7.30%,-28.27,6.47,1.20,-12.00%,10.66%,2.14%,5.75%,10.90%,1.10%,-,Feb 13 BMO,-11.10%,0.20%,-23.22%,93.50%,-2.12%,-22.10%,-40.30%,-34.80%,39.30%,-,-,-,-24.24%,592.00M,587.96M,1.52% / 1.50,8.92M,82.50,56.53 - 106.65,-41.95%,9.53%,32.56,0.47,5.96M,"1,449,571",-3.09%,-17.71%,-11.21%,-31.89%,-28.21%,-8.75%,0.85,2.07,2.30% 3.01%,62.92,61.92,-1.60%
FISV,"NDX, S&P 500",72.79B,2.53B,17.74B,48.66,1.45,-,-,41000,Yes,Yes,2.10,29.96,14.03,2.20,4.10,2.41,80.70,23.19,1.00,1.00,0.69,0.68,1.28%,3.91,8.35,1.57,96.60%,13.71%,13.63%,12.00%,25.50%,8.80%,144.20%,Feb 07 BMO,8.11%,0.50%,-49.77%,92.50%,-0.52%,3.20%,8.20%,6.10%,54.90%,21.10%,14.30%,0.00%,15.31%,633.60M,621.76M,1.08% / 2.14,6.71M,127.52,87.03 - 119.48,-1.64%,35.03%,62.98,0.47,3.13M,"755,453",0.39%,1.94%,17.11%,11.13%,24.76%,16.28%,0.86,2.02,1.29% 1.85%,117.07,117.52,0.38%
FITB,S&P 500,22.48B,2.33B,6.59B,22.09,18.33,1.32,3.92%,19319,Yes,Yes,2.10,10.06,8.39,2.08,3.41,1.53,1.84,4.36,-,-,0.90,0.90,-10.95%,3.35,4.01,0.82,-10.40%,6.53%,4.84%,6.30%,8.00%,60.20%,11.00%,Jan 19 BMO,-8.59%,0.10%,-1.16%,83.00%,-0.12%,1.10%,14.40%,15.20%,-,76.60%,35.30%,37.30%,-7.33%,688.68M,678.27M,2.05% / 2.79,13.94M,40.15,30.92 - 48.03,-32.66%,4.60%,26.49,0.72,5.00M,"1,858,957",-9.20%,-14.44%,0.32%,-4.99%,-22.92%,-1.43%,1.24,0.89,2.93% 2.08%,33.69,32.34,-4.00%
FLT,S&P 500,15.20B,954.30M,3.43B,34.60,19.73,-,-,9900,Yes,Yes,2.00,16.82,10.60,1.23,4.43,6.04,10.59,25.19,1.00,1.00,2.77,1.86,-0.82%,12.42,19.71,3.67,24.30%,15.73%,13.68%,13.70%,8.80%,10.10%,9.70%,Feb 08 AMC,3.39%,2.70%,-0.07%,93.90%,-5.89%,6.60%,36.80%,11.70%,-,42.20%,27.80%,0.00%,2.14%,73.46M,71.54M,1.27% / 1.71,0.91M,240.56,161.69 - 265.30,-21.31%,29.12%,50.21,0.86,532.89K,"240,550",-1.76%,-2.16%,12.62%,-1.70%,-8.52%,13.66%,1.21,5.21,1.95% 2.62%,208.95,208.77,-0.09%
FMC,S&P 500,16.01B,832.10M,5.80B,26.93,4.56,2.32,1.82%,6600,Yes,Yes,2.20,19.40,14.33,2.02,2.76,4.73,27.98,92.73,1.00,1.40,0.97,0.81,-2.18%,6.57,8.90,1.75,5.60%,13.42%,9.60%,30.80%,15.00%,14.70%,45.20%,Feb 07 AMC,-1.88%,0.40%,-3.38%,92.80%,1.62%,6.70%,23.10%,15.00%,40.10%,19.70%,12.70%,36.30%,6.40%,125.43M,124.46M,1.08% / 1.76,1.34M,144.29,98.24 - 140.99,-10.89%,27.89%,42.04,0.34,761.07K,"137,007",-2.50%,-0.39%,-1.80%,15.68%,6.97%,0.68%,0.85,2.61,1.97% 2.01%,127.47,125.64,-1.43%
FOX,S&P 500,17.90B,-,14.28B,21.65,-,0.50,1.57%,10600,Yes,Yes,-,11.75,13.55,1.28,1.25,1.47,-,-,-,-,-,-,-5.08%,2.71,2.35,0.49,-,14.60%,9.20%,-,-,3.70%,-,Feb 08 BMO,-0.11%,43.16%,-0.03%,54.20%,-,-,-,-,-,-,-,22.66%,2.71%,240.22M,136.55M,1.19% / 1.33,1.63M,38.38,26.35 - 38.92,-19.57%,18.80%,39.34,0.40,1.22M,"257,282",-3.08%,-1.56%,7.10%,1.41%,-18.05%,10.04%,-,0.67,1.70% 2.05%,31.84,31.31,-1.68%
FOXA,S&P 500,17.97B,1.51B,14.29B,21.45,7.79,0.50,1.45%,10600,Yes,Yes,2.50,12.70,10.65,1.32,1.26,1.61,4.43,11.04,2.90,3.40,0.00,0.62,-4.81%,2.72,3.24,0.92,-41.50%,-6.39%,9.63%,-0.90%,7.10%,3.70%,485.90%,Feb 08 BMO,0.97%,0.20%,-6.48%,-,-1.08%,6.70%,13.20%,10.60%,36.60%,18.20%,10.50%,18.00%,3.73%,541.00M,430.53M,7.02% / 11.75,30.22M,38.38,28.01 - 42.60,-20.25%,21.27%,41.14,0.55,2.57M,"744,487",-3.23%,-0.22%,9.60%,1.66%,-18.80%,11.87%,0.87,0.74,1.77% 2.13%,34.50,33.97,-1.52%
FRC,S&P 500,20.44B,1.51B,5.72B,74.10,40.40,1.08,0.94%,7114,Yes,Yes,2.10,13.90,13.78,4.54,3.57,1.55,2.85,16.28,-,-,0.09,0.09,-22.91%,8.27,8.35,1.41,31.90%,37.42%,3.06%,14.30%,17.20%,35.80%,15.60%,Jan 13 BMO,-24.79%,0.20%,0.00%,97.20%,0.96%,0.80%,11.50%,26.40%,-,78.00%,25.70%,8.10%,-29.06%,182.00M,181.64M,2.57% / 2.87,4.66M,144.14,106.86 - 174.21,-44.00%,-8.71%,18.52,5.31,1.62M,"4,505,106",-18.53%,-32.11%,-17.82%,-35.67%,-37.66%,-19.97%,1.15,4.58,2.49% 2.46%,115.00,97.55,-15.17%
FRT,S&P 500,8.46B,271.50M,1.03B,33.94,1.81,4.32,4.12%,310,Yes,Yes,2.30,30.54,36.99,4.29,8.19,3.09,57.84,170.82,-,-,1.59,1.59,-3.39%,3.44,2.84,0.65,100.70%,6.77%,7.12%,1.30%,3.50%,10.60%,193.50%,Feb 08 AMC,-3.19%,0.10%,-15.15%,98.60%,3.11%,3.50%,10.60%,6.00%,66.80%,40.00%,26.30%,124.10%,0.73%,80.77M,80.51M,1.86% / 2.77,1.50M,117.47,86.43 - 128.13,-18.75%,20.44%,38.32,0.55,541.43K,"154,391",-2.00%,-5.42%,-2.46%,-0.01%,-12.30%,3.03%,1.23,2.19,1.82% 2.04%,104.95,104.10,-0.81%
FTNT,"NDX, S&P 500",47.49B,857.30M,4.42B,-0.36,2.88,-,-,12595,Yes,Yes,2.00,57.80,36.93,3.05,10.75,-,21.48,32.77,1.20,1.20,-,-,1.49%,1.07,1.67,0.29,46.60%,18.32%,18.97%,58.60%,24.20%,33.10%,66.40%,Feb 07 AMC,12.78%,12.00%,-1.01%,67.80%,-4.25%,15.20%,-314.20%,132.40%,75.40%,21.90%,19.40%,0.00%,12.88%,780.60M,633.43M,2.10% / 2.51,13.27M,69.32,42.61 - 71.52,-14.56%,43.39%,59.71,0.56,5.29M,"1,541,873",2.45%,13.61%,20.16%,21.11%,10.36%,24.97%,1.15,1.72,2.85% 2.85%,61.79,61.10,-1.12%
FTV,S&P 500,23.56B,755.20M,5.83B,27.38,2.02,0.28,0.42%,18000,Yes,Yes,2.10,32.04,18.38,4.22,4.04,2.45,33.22,21.26,0.70,0.90,0.34,0.23,-0.96%,2.10,3.65,0.73,27.20%,8.85%,7.60%,-1.90%,0.20%,11.20%,36.20%,Feb 01 BMO,0.44%,0.10%,-13.04%,97.20%,-8.30%,4.70%,7.90%,6.70%,57.70%,16.90%,13.00%,13.20%,6.00%,353.70M,348.54M,1.31% / 2.68,4.58M,73.71,52.47 - 69.78,-3.73%,28.04%,48.36,0.64,1.71M,"569,666",-0.75%,-3.10%,0.98%,3.61%,19.35%,4.56%,1.15,1.31,1.92% 1.89%,67.15,67.18,0.04%
GD,S&P 500,62.10B,3.39B,39.41B,67.77,4.54,5.04,2.22%,106500,Yes,Yes,2.10,18.63,15.36,2.00,1.58,3.35,50.00,29.35,1.00,1.40,0.58,0.51,-2.37%,12.19,14.79,2.71,5.50%,15.82%,9.32%,4.10%,4.90%,5.40%,5.40%,Jan 25 BMO,-4.31%,0.50%,-1.98%,86.70%,-0.93%,6.60%,18.90%,12.20%,16.80%,10.70%,8.60%,20.50%,-3.12%,273.99M,273.28M,0.90% / 2.26,2.45M,269.68,207.42 - 256.86,-12.15%,8.79%,37.37,0.98,1.09M,"556,282",-1.99%,-2.72%,-9.11%,-0.91%,-4.10%,-9.05%,0.84,3.77,1.58% 1.46%,227.06,225.66,-0.62%
GE,S&P 500,94.02B,585.00M,76.56B,33.27,23.01,0.32,0.37%,172000,Yes,Yes,2.00,160.18,25.15,3.60,1.23,2.61,3.78,24.07,0.90,1.20,0.89,0.79,10.04%,0.54,3.46,0.13,116.30%,79.45%,44.50%,16.50%,-5.10%,7.00%,162.00%,Jan 24 BMO,16.63%,0.20%,0.00%,71.90%,-3.29%,0.00%,-0.20%,-1.00%,25.80%,-0.30%,-0.10%,109.93%,46.61%,1.09B,1.08B,1.24% / 1.76,13.40M,87.34,46.77 - 87.82,5.20%,97.56%,78.24,4.76,7.61M,"18,940,143",7.78%,12.52%,38.83%,60.91%,34.31%,41.30%,1.28,2.28,1.97% 2.16%,86.98,92.39,6.22%
GILD,"NDX, S&P 500",98.23B,4.59B,27.28B,16.92,5.21,3.00,3.74%,17000,Yes,Yes,2.50,22.05,11.17,8.73,3.60,4.74,15.38,21.19,1.20,1.30,1.19,1.08,-3.62%,3.64,7.18,1.56,-26.20%,5.26%,2.52%,-13.90%,0.90%,2.00%,328.30%,Feb 02 AMC,-4.94%,0.09%,-3.15%,83.00%,0.87%,7.30%,22.30%,13.10%,79.30%,26.90%,16.80%,79.80%,9.93%,1.25B,1.23B,1.28% / 2.38,15.76M,89.96,57.17 - 89.74,-10.92%,39.84%,37.22,0.85,6.63M,"2,937,323",0.40%,-7.10%,-9.12%,23.38%,34.26%,-6.88%,0.40,1.42,1.36% 1.59%,80.20,79.94,-0.32%
